ID,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9
1,8,6,4,5,5,5,3,3,2
2,7,6,6,6,4,2,7,4,6
3,7,7,9,6,8,7,8,8,8
4,7,7,6,6,5,5,8,8,8
5,3,3,3,1,1,1,8,8,8
6,7,8,8,7,6,7,6,6,7
7,7,9,9,6,5,3,7,6,5
8,8,7,7,3,4,4,7,8,6
9,4,4,5,3,4,4,7,7,5
10,7,7,7,5,4,2,7,8,8
11,5,4,5,4,4,4,7,8,7
12,8,8,8,7,7,7,7,8,6
13,5,7,7,6,6,5,8,8,8
14,5,5,5,2,2,2,5,7,4
15,7,6,7,8,8,6,9,9,8
16,6,6,7,4,6,3,2,8,2
17,8,8,8,2,2,2,5,6,6
18,8,7,6,1,7,2,5,5,4
19,8,8,7,4,4,4,8,8,8
20,8,7,7,8,9,8,8,8,7
21,7,8,7,4,4,3,8,8,8
22,7,8,7,9,9,9,7,8,8
23,7,5,4,6,4,3,3,4,2
24,8,8,9,7,9,9,4,5,5
25,7,7,7,4,5,5,7,5,6
26,7,7,7,4,4,4,7,7,6
27,7,8,7,8,8,8,6,7,6
28,8,8,8,7,8,7,6,7,6
29,7,6,6,4,4,3,5,4,6
30,9,8,8,2,3,1,7,8,8
31,3,2,1,1,3,1,2,4,2
32,8,8,8,7,6,5,6,6,6
33,9,7,9,7,8,9,9,9,8
34,7,6,5,7,6,4,9,9,8
35,6,5,7,6,5,4,6,7,7
36,5,5,6,5,5,5,6,6,6
37,5,3,1,2,3,1,5,5,2
38,7,7,8,3,3,1,3,2,2
39,7,7,7,6,5,5,6,6,6
40,7,7,7,8,9,8,5,4,5
41,9,8,8,9,8,9,9,9,9
42,5,5,4,5,3,6,3,5,5
43,7,7,7,3,3,5,7,6,7
44,6,4,6,6,5,4,6,7,6
45,6,5,4,3,3,3,8,6,7
46,8,8,8,8,7,6,7,8,7
47,8,7,6,5,6,4,8,8,8
48,6,4,4,6,6,6,4,5,4
49,7,7,8,2,1,1,7,7,8
50,6,7,7,2,3,2,3,3,4
51,7,8,7,7,7,6,8,9,8
52,7,5,6,8,8,7,5,7,8
53,3,3,3,3,3,3,3,8,5
54,8,8,8,7,6,4,6,6,5
55,5,3,6,3,3,3,6,8,3
56,8,8,8,7,8,8,8,9,9
57,8,6,4,7,7,8,8,8,8
58,8,8,9,6,8,7,7,7,5
59,6,4,4,1,1,1,4,5,2
60,6,3,1,1,3,1,6,3,1
61,4,4,6,3,3,3,6,6,6
62,6,5,7,5,5,3,8,8,8
63,8,6,8,7,7,7,6,5,4
64,8,8,7,8,7,8,7,7,7
65,7,7,6,4,3,4,7,7,6
66,6,6,7,5,4,4,8,8,6
67,7,7,6,5,5,4,8,9,7
68,6,6,7,4,5,6,6,7,8
69,7,8,8,6,6,5,7,7,7
70,7,7,7,7,8,8,8,9,8
71,6,7,5,3,4,3,5,7,7
72,6,5,7,8,6,5,7,8,7
73,7,7,7,7,7,8,8,7,7
74,7,9,9,8,9,9,6,5,5
75,3,3,3,3,3,3,5,5,5
76,7,7,7,9,8,9,7,8,7
77,7,4,4,6,7,7,8,8,7
78,5,5,6,8,6,6,8,8,7
79,5,5,5,5,5,5,7,7,5
80,6,6,6,5,9,7,6,8,7
81,7,6,7,6,7,6,5,8,5
82,7,7,7,5,4,1,5,5,5
83,6,4,6,4,4,5,6,8,7
84,7,6,7,4,3,3,5,5,6
85,7,7,6,6,8,5,8,9,8
86,9,8,8,3,3,4,9,9,9
87,7,7,7,6,6,6,7,7,7
88,5,5,6,4,4,4,4,7,5
89,7,7,8,5,5,8,7,7,5
90,8,8,9,1,2,1,8,8,5
91,7,5,3,1,2,1,5,7,5
92,6,6,6,4,6,5,8,8,8
93,6,6,7,5,5,7,9,9,8
94,6,8,7,5,6,3,5,8,6
95,7,7,7,5,7,5,6,7,6
96,7,7,6,4,3,3,8,8,7
97,7,5,6,7,5,4,3,1,2
98,3,3,4,2,1,3,5,4,5
99,7,5,4,5,7,6,8,8,7
100,5,5,7,5,4,2,8,8,8
101,8,6,6,1,1,1,4,4,5
102,8,6,6,4,6,5,8,9,8
103,6,4,6,2,3,3,7,7,5
104,7,6,7,9,9,9,9,9,9
105,9,9,9,8,7,5,9,9,9
106,7,7,8,5,6,5,6,8,6
107,8,8,8,8,7,7,8,8,7
108,7,8,8,4,7,4,2,2,3
109,6,6,6,5,5,5,7,7,5
110,7,7,8,4,7,3,8,8,9
111,6,5,9,5,5,3,7,5,6
112,6,3,4,3,6,2,6,8,5
113,8,8,7,4,5,4,6,9,7
114,7,6,6,5,5,4,6,6,4
115,9,9,9,9,8,8,9,9,9
116,5,6,3,2,2,2,7,7,8
117,7,7,8,5,4,4,9,8,4
118,6,7,6,4,7,2,6,7,7
119,8,8,8,9,9,7,6,8,8
120,8,8,8,3,3,3,3,3,3
121,7,9,6,3,5,6,5,5,2
122,2,2,4,5,1,1,6,6,6
123,5,5,4,7,6,7,6,8,8
124,5,5,6,6,5,6,6,9,8
125,9,9,9,5,5,7,7,7,7
126,6,7,8,7,6,6,8,8,7
127,7,7,7,7,6,5,7,7,8
128,8,6,5,6,2,2,7,8,6
129,6,6,7,6,5,7,9,8,8
130,7,7,8,8,8,6,7,8,8
131,5,6,7,9,6,7,5,6,6
132,8,6,8,5,8,3,7,7,8
133,6,6,6,4,4,4,8,8,7
134,5,4,5,5,5,5,3,7,3
135,7,1,1,5,9,3,1,2,1
136,7,7,7,4,6,6,7,8,7
137,7,7,7,7,7,4,7,9,4
138,7,7,5,5,5,3,5,5,5
139,6,6,7,5,5,5,6,6,6
140,5,4,6,9,9,9,9,9,9
141,6,6,6,7,6,7,8,8,7
142,4,6,9,8,9,8,6,8,9
143,7,7,8,6,6,5,8,8,7
144,7,4,5,2,5,6,7,7,7
145,7,9,7,8,9,8,7,7,4
146,9,9,9,5,4,4,4,5,3
147,6,5,3,7,6,4,7,7,5
148,7,6,8,5,3,2,5,5,5
149,9,8,8,6,4,5,9,9,8
150,8,8,8,9,8,6,8,8,7
151,8,7,8,8,7,8,8,8,7
152,6,3,5,4,6,3,6,8,6
153,7,7,7,9,7,7,9,9,9
154,8,8,8,5,4,4,8,7,6
155,7,8,7,6,3,2,3,3,4
156,4,6,7,5,5,4,7,7,7
157,7,7,8,6,8,7,8,8,7
158,8,7,7,9,8,9,8,9,8
159,9,9,9,9,9,9,9,7,9
160,3,3,2,3,1,1,9,9,7
161,7,6,6,2,5,2,4,7,7
162,7,5,6,1,1,1,8,8,7
163,8,8,8,7,7,8,7,6,6
164,7,5,6,4,6,3,8,8,8
165,5,4,5,6,5,3,4,7,3
166,6,5,7,3,3,3,7,7,5
167,7,7,8,5,8,1,7,7,7
168,6,6,6,7,5,6,8,8,8
169,7,8,6,6,8,6,9,9,9
170,6,4,5,5,5,5,1,2,3
171,6,5,6,5,5,5,6,8,8
172,6,9,9,2,6,6,6,3,3
173,8,7,7,4,2,1,6,6,7
174,6,7,8,7,7,4,5,7,5
175,5,5,4,7,6,3,4,6,5
176,8,6,6,4,4,3,5,5,4
177,6,6,6,5,4,6,5,6,5
178,2,2,1,2,2,1,7,8,8
179,7,7,7,5,5,5,4,5,5
180,7,3,1,6,5,3,7,7,6
181,7,7,7,6,5,4,8,8,6
182,3,4,8,4,7,6,4,8,7
183,2,2,3,2,1,2,7,7,7
184,4,5,5,6,7,7,7,7,7
185,6,7,6,5,4,4,7,8,6
186,7,7,8,3,6,2,2,4,4
187,7,6,7,3,5,3,5,6,4
188,6,7,6,5,6,5,4,6,6
189,3,2,6,1,2,1,8,7,9
190,7,6,7,7,7,5,7,7,7
191,8,6,7,8,4,7,9,9,9
192,8,9,9,9,9,8,5,6,5
193,4,5,6,1,5,1,7,9,5
194,6,5,5,8,8,7,8,8,8
195,6,4,7,7,7,8,9,9,5
196,8,8,8,9,9,8,7,7,7
197,8,8,8,9,8,8,6,7,7
198,7,7,6,7,7,8,6,7,6
199,6,7,7,8,8,8,7,7,5
200,5,8,9,9,7,8,9,8,6
201,8,7,8,4,4,3,6,8,7
202,6,5,6,6,6,6,7,6,5
203,6,6,8,1,1,1,6,7,6
204,9,9,9,2,4,2,8,8,9
205,5,5,5,7,1,1,7,7,5
206,7,6,8,6,7,5,7,8,7
207,9,8,8,7,6,5,3,5,3
208,7,4,6,7,7,6,5,5,5
209,5,7,6,6,6,7,6,7,6
210,3,4,5,5,4,5,3,4,4
211,8,8,8,4,1,6,7,9,7
212,6,5,5,9,9,9,9,9,8
213,7,6,7,6,5,6,5,7,7
214,7,6,5,7,8,6,8,7,5
215,9,9,9,6,7,7,7,6,6
216,9,8,8,7,6,6,7,7,6
217,6,6,6,7,7,7,6,6,6
218,5,6,6,4,6,7,3,5,4
219,8,8,8,9,8,9,6,7,6
220,9,9,9,9,9,9,5,7,5
221,5,4,5,5,5,4,6,7,7
222,7,8,8,6,7,6,8,8,6
223,5,5,8,8,8,8,9,9,9
224,8,5,7,3,7,3,9,7,8
225,5,5,6,5,4,4,7,8,7
226,8,7,9,8,6,8,8,8,8
227,5,5,4,5,4,4,5,4,6
228,7,8,8,5,6,4,4,6,5
229,6,4,4,3,1,1,3,7,4
230,8,8,8,9,7,9,7,9,9
231,8,8,8,9,8,8,8,8,7
232,6,5,7,5,4,7,6,7,5
233,7,7,7,4,6,3,9,9,9
234,6,6,7,8,5,4,7,7,7
235,6,6,7,4,4,3,6,5,7
236,7,6,7,6,6,6,7,5,6
237,5,6,5,8,7,6,6,7,7
238,8,8,9,8,7,8,8,9,9
239,6,5,5,3,4,4,7,7,5
240,8,8,7,3,5,5,6,6,5
241,5,5,6,4,2,3,8,8,9
242,7,5,4,3,1,1,4,9,9
243,6,1,2,3,3,3,7,7,7
244,7,5,6,4,4,4,7,8,6
245,5,5,4,1,2,1,7,8,8
246,6,6,8,4,3,3,8,8,6
247,7,8,8,7,6,4,8,8,7
248,7,8,8,9,7,8,8,8,7
249,6,7,7,7,8,6,7,8,8
250,5,5,4,9,8,9,5,5,4
